[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.behandlingslager.virksomhet.OrganisasjonsNummerValidatorTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.043 s - in no.nav.foreldrepenger.behandlingslager.uttak.UttaksperiodegrenseRepositoryTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.28 s - in no.nav.foreldrepenger.behandlingslager.uttak.fp.FpUttakRepositoryTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s - in no.nav.foreldrepenger.behandlingslager.uttak.fp.UttakResultatPerioderEntitetTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.143 s - in no.nav.foreldrepenger.behandlingslager.uttak.svp.SvangerskapspengerUttakResultatRepositoryTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.06 s - in no.nav.foreldrepenger.behandlingslager.pip.PipRepositoryTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.033 s - in no.nav.foreldrepenger.behandlingslager.kodeverk.KodeverkRepositoryImplTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.01 s - in no.nav.foreldrepenger.behandlingslager.aktør.NavBrukerEntityTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.009 s - in no.nav.foreldrepenger.behandlingslager.aktør.BrukerTjenesteTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.089 s - in no.nav.foreldrepenger.behandlingslager.fagsak.FagsakRepositoryImplTest
[INFO] Tests run: 10, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.292 s - in no.nav.foreldrepenger.behandlingslager.fagsak.FagsakRelasjonRepositoryImplTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.044 s - in no.nav.foreldrepenger.behandlingslager.hendelser.håndtering.HendelseHåndteringRepositoryImplTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.013 s - in no.nav.foreldrepenger.behandlingslager.hendelser.mottak.HendelsemottakRepositoryImplTest
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.173 s - in no.nav.foreldrepenger.behandlingslager.hendelser.sortering.HendelseSorteringRepositoryImplTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.behandlingslager.geografisk.LandkoderTest
